adminDB,title,date_from_utk_metadata_app,crl_deliverable_directory
0012_004266_000001,"Tennessee farm news, January 2, 1925","January 2, 1921",
0012_004266_000002,"Tennessee farm news, January 9, 1921","January 9, 1921",
0012_004266_000003,"Tennessee farm news, July 4, 1921","July 13, 1925",
0012_004266_000004,"Tennessee farm news, July 11, 1921","July 13, 1925",
0012_004266_000005,"Tennessee farm news, July 16, 1921","July 13, 1925",
0012_004266_000006,"Tennessee farm news, July 25, 1921","July 25, 1921",
0012_004266_000007,"Tennessee farm news, August 1, 1921","August 1, 1921",
0012_004266_000008,"Tennessee farm news, August 8, 1921","August 8, 1921",
0012_004266_000009,"Tennessee farm news, August 15, 1921","August 15, 1921",
0012_004266_000010,"Tennessee farm news, August 22, 1921","August 22, 1921",
0012_004266_000011,"Tennessee farm news, August 29, 1921","August 29, 1921",
0012_004266_000012,"Tennessee farm news, September 5, 1921","September 5, 1921",
0012_004266_000013,"Tennessee farm news, September 12, 1921","September 12, 1921",
0012_004266_000014,"Tennessee farm news, September 19, 1921","September 19, 1921",
0012_004266_000015,"Tennessee farm news, September 16, 1921","September 26, 1921",
0012_004266_000016,"Tennessee farm news, October 3, 1921","October 3, 1921",
0012_004266_000017,"Tennessee farm news, October 10, 1921","October 10, 1921",
0012_004266_000018,"Tennessee farm news, October 17, 1921","October 17, 1921",
0012_004266_000019,"Tennessee farm news, October 24, 1921","October 25, 1921",
0012_004266_000020,"Tennessee farm news, October 31, 1921","October 31, 1921",
0012_004266_000021,"Tennessee farm news, November 7, 1921","November 7, 1921",
0012_004266_000022,"Tennessee farm news, November 14, 1921","November 14, 1921",
0012_004266_000023,"Tennessee farm news, November 21, 1921","November 21, 1921",
0012_004266_000024,"Tennessee farm news, November 28, 1921","November 28, 1921",
0012_004266_000025,"Tennessee farm news, December 5, 1921","December 5, 1921",
0012_004266_000026,"Tennessee farm news, December 12, 1921","December 12, 1921",
0012_004266_000027,"Tennessee farm news, December 19, 1921","December 19, 1921",
0012_004266_000028,"Tennessee farm news, December 26, 1921","December 26, 1921",
0012_004266_000029,"Tennessee farm news, January 16, 1922","January 16, 1922",
0012_004266_000030,"Tennessee farm news, January 23, 1922","January 23, 1922",
0012_004266_000031,"Tennessee farm news, January 31, 1922","January 31, 1922",
0012_004266_000032,"Tennessee farm news, February 6, 1922","February 6, 1922",
0012_004266_000033,"Tennessee farm news, February 13, 1922","February 13, 1922",
0012_004266_000034,"Tennessee farm news, February 20, 1922","February 20, 1922",
0012_004266_000035,"Tennessee farm news, February 27, 1922","February 27, 1922",
0012_004266_000036,"Tennessee farm news, March 6, 1922","March 6, 1922",
0012_004266_000037,"Tennessee farm news, March 13, 1922","March 13, 1922",
0012_004266_000038,"Tennessee farm news, March 20, 1922","March 20, 1922",
0012_004266_000039,"Tennessee farm news, March 27, 1922","March 27, 1922",
0012_004266_000040,"Tennessee farm news, April 3, 1922","April 3, 1922",
0012_004266_000041,"Tennessee farm news, April 10, 1922","April 10, 1922",
0012_004266_000042,"Tennessee farm news, April 17, 1922","April 17, 1922",
0012_004266_000043,"Tennessee farm news, April 24, 1922","April 24, 1922",
0012_004266_000044,"Tennessee farm news, May 1, 1922","May 1, 1922",
0012_004266_000045,"Tennessee farm news, May 8, 1922","May 8, 1922",
0012_004266_000046,"Tennessee farm news, May 15, 1922","May 15, 1922",
0012_004266_000047,"Tennessee farm news, May 22, 1922","May 22, 1922",
0012_004266_000048,"Tennessee farm news, May 29, 1922","May 29, 1922",
0012_004266_000049,"Tennessee farm news, June 5, 1922","June 5, 1922",
0012_004266_000050,"Tennessee farm news, June 12, 1922","June 12, 1922",
0012_004266_000051,"Tennessee farm news, June 19, 1922","June 19, 1922",
0012_004266_000052,"Tennessee farm news, June 26, 1922","June 26, 1922",
0012_004266_000053,"Tennessee farm news, July 3, 1922","July 3, 1922",
0012_004266_000054,"Tennessee farm news, July 11, 1922","July 11, 1922",
0012_004266_000055,"Tennessee farm news, July 17, 1922","July 17, 1922",
0012_004266_000056,"Tennessee farm news, July 24, 1922","July 24, 1922",
0012_004266_000057,"Tennessee farm news, July 31, 1922","July 31, 1922",
0012_004266_000058,"Tennessee farm news, August 7, 1922","August 7, 1922",
0012_004266_000059,"Tennessee farm news, August 14, 1922","August 14, 1922",
0012_004266_000060,"Tennessee farm news, August 21, 1922","August 21, 1922",
0012_004266_000061,"Tennessee farm news, August 28, 1922","August 28, 1922",
0012_004266_000062,"Tennessee farm news, September 4, 1922","September 4, 1922",
0012_004266_000063,"Tennessee farm news, September 11, 1922","September 11, 1922",
0012_004266_000064,"Tennessee farm news, September 18, 1922","September 18, 1922",
0012_004266_000065,"Tennessee farm news, September 25, 1922","September 25, 1922",
0012_004266_000066,"Tennessee farm news, October 2, 1922","October 2, 1922",
0012_004266_000067,"Tennessee farm news, October 9, 1922","October 9, 1922",
0012_004266_000068,"Tennessee farm news, October 16, 1922","October 16, 1922",
0012_004266_000069,"Tennessee farm news, October 23, 1922","October 23, 1922",
0012_004266_000070,"Tennessee farm news, October 30, 1922","October 30, 1922",
0012_004266_000071,"Tennessee farm news, November 6, 1922","November 6, 1922",
0012_004266_000072,"Tennessee farm news, November 13, 1922","November 13, 1922",
0012_004266_000073,"Tennessee farm news, November 20, 1922","November 20, 1922",
0012_004266_000074,"Tennessee farm news, November 27, 1922","November 27, 1922",
0012_004266_000075,"Tennessee farm news, December 4, 1922","December 4, 1922",
0012_004266_000076,"Tennessee farm news, December 26, 1922","December 26, 1922",
0012_004266_000077,"Tennessee farm news, December 18, 1922","December 18, 1922",
0012_004266_000078,"Tennessee farm news, December 25, 1922","December 25, 1922",
0012_004266_000079,"Tennessee farm news, January 1, 1923","January 1, 1923",
0012_004266_000080,"Tennessee farm news, January 8, 1923","January 8, 1923",
0012_004266_000081,"Tennessee farm news, January 15, 1923","January 15, 1923",
0012_004266_000082,"Tennessee farm news, January 22, 1923","January 22, 1923",
0012_004266_000083,"Tennessee farm news, January 29, 1923","January 29, 1923",
0012_004266_000084,"Tennessee farm news, February 5, 1923","February 5, 1923",
0012_004266_000085,"Tennessee farm news, February 12, 1923","February 12, 1923",
0012_004266_000086,"Tennessee farm news, February 19, 1923","February 19, 1923",
0012_004266_000087,"Tennessee farm news, February 26, 1923","February 26, 1923",
0012_004266_000088,"Tennessee farm news, March 5, 1923","March 5, 1923",
