adminDB,title,crl_deliverable_directory,date,crl_deliverable_by_date
0012_004268_000001,Circular 24,circular_24,1933-01-27,1933_n01
0012_004268_000002,Circular 25,circular_25,1932-02,1932_n01
0012_004268_000003,Circular 26,circular_26,1932-03,1932_n02
0012_004268_000004,Circular 28,circular_28,1932-04,1932_n03
0012_004268_000005,Circular 29,circular_29,1932-10,1932_n04
0012_004268_000006,Circular 31,circular_31,1938-04,1938_n01
0012_004268_000007,Circular 32,circular_32,1938-04,1938_n02
0012_004268_000008,Circular 33,circular_33,1933-09,1933_n02
0012_004268_000009,Circular 34,circular_34,1933-09,1933_n03
0012_004268_000010,Circular 35,circular_35,1934-04,1934_n01
0012_004268_000011,Circular 36,circular_36,1937-01,1937_n01
0012_004268_000012,Circular 37,circular_37,1937-04-01,1937_n02
0012_004268_000013,Circular 38,circular_38,1937-11,1937_n03
0012_004268_000014,Circular 40,circular_40,1940-01,1940_n01
0012_004268_000015,Special Circular 41,special_circular_41,1936-11,1936_n01
0012_004268_000016,Special Circular 42,special_circular_42,1936-11,1936_n02
0012_004268_000017,Special Circular 43,special_circular_43,1936-11,1936_n03
0012_004268_000018,Special Circular 44,special_circular_44,1936-12,1936_n04
0012_004268_000019,Special Circular 46,special_circular_46,1936-12,1936_n05
0012_004268_000020,Special Circular 47,special_circular_47,1937-01,1937_n04
0012_004268_000021,Special Circular 48,special_circular_48,1937-03,1937_n05
0012_004268_000022,Special Circular 49,special_circular_49,1937-02,1937_n06
0012_004268_000023,Special Circular 50,special_circular_50,1937-02,1937_n07
0012_004268_000024,Special Circular 51,special_circular_51,1937-02,1937_n08
0012_004268_000025,Special Circular 52,special_circular_52,1937-02,1937_n09
0012_004268_000026,Special Circular 53,special_circular_53,1937-02,1937_n10
0012_004268_000027,Special Circular 54,special_circular_54,1937-03,1937_n11
0012_004268_000028,Special Circular 55,special_circular_55,1937-03,1937_n12
0012_004268_000029,Special Circular 56,special_circular_56,1937-03,1937_n13
0012_004268_000030,Special Circular 57,special_circular_57,1937-03,1937_n14
0012_004268_000031,Special Circular 58,special_circular_58,1937-03,1937_n15
0012_004268_000032,Special Circular 59,special_circular_59,1937-04,1937_n16
0012_004268_000033,Special Circular 61,special_circular_61,1937-05,1937_n17
0012_004268_000034,Special Circular 62,special_circular_62,1937-05,1937_n18
0012_004268_000035,Special Circular 63,special_circular_63,1937-05,1937_n19
0012_004268_000036,Special Circular 64,special_circular_64,1937-05,1937_n20
0012_004268_000037,Special Circular 65,special_circular_65,1937-05,1937_n21
0012_004268_000038,Special Circular 66,special_circular_66,1937-06,1937_n22
0012_004268_000039,Special Circular 67,special_circular_67,1937-06,1937_n23
0012_004268_000040,Special Circular 68,special_circular_68,1938-02,1938_n03
0012_004268_000041,Special Circular 69,special_circular_69,1937-07,1937_n24
0012_004268_000042,Special Circular 70,special_circular_70,1937-08,1937_n25
0012_004268_000043,Special Circular 71,special_circular_71,1937-08,1937_n26
0012_004268_000044,Special Circular 72,special_circular_72,1938-05,1938_n04
0012_004268_000045,Special Circular 73,special_circular_73,1938-05,1938_n05
0012_004268_000046,Special Circular 74,special_circular_74,1938-01,1938_n06
0012_004268_000047,Special Circular 75,special_circular_75,1938-01,1938_n07
0012_004268_000048,Special Circular 76,special_circular_76,1938-02,1938_n08
0012_004268_000049,Special Circular 77,special_circular_77,1938-02,1938_n09
0012_004268_000050,Special Circular 78,special_circular_78,1938-03,1938_n10
0012_004268_000051,Special Circular 79,special_circular_79,1938-03,1938_n11
0012_004268_000052,Special Circular 80,special_circular_80,1938-04,1938_n12
0012_004268_000053,Special Circular 81,special_circular_81,1938-04,1938_n13
0012_004268_000054,Special Circular 82,special_circular_82,1938-04,1938_n14
0012_004268_000055,Special Circular 83,special_circular_83,1938-04,1938_n15
0012_004268_000056,Special Circular 84,special_circular_84,1938-05,1938_n16
0012_004268_000057,Special Circular 85,special_circular_85,1938-05,1938_n17
0012_004268_000058,Special Circular 86,special_circular_86,1938-05,1938_n18
0012_004268_000059,Special Circular 87,special_circular_87,1938-07,1938_n19
0012_004268_000060,Special Circular 88,special_circular_88,1938-08,1938_n20
0012_004268_000061,Special Circular 89,special_circular_89,1938-09,1938_n21
0012_004268_000062,Special Circular 90,special_circular_90,1938-09,1938_n22
0012_004268_000063,Special Circular 91,special_circular_91,1938-09,1938_n23
0012_004268_000064,Special Circular 92,special_circular_92,1938-10,1938_n24
0012_004268_000065,Special Circular 93,special_circular_93,1939-02,1939_n01
0012_004268_000066,Special Circular 100,special_circular_100,1939-01,1939_n02
0012_004268_000067,Special Circular 101,special_circular_101,1939-01,1939_n03
0012_004268_000068,Special Circular 102,special_circular_102,1939-03,1939_n04
0012_004268_000069,Special Circular 103,special_circular_103,1939-05,1939_n05
0012_004268_000070,Special Circular 104,special_circular_104,1939-04,1939_n06
0012_004268_000071,Special Circular 105,special_circular_105,1939-04,1939_n07
0012_004268_000072,Special Circular 106,special_circular_106,1939-05,1939_n08
0012_004268_000073,Special Circular 107,special_circular_107,1939-05,1939_n09
0012_004268_000074,Special Circular 108,special_circular_108,1939-05,1939_n10
0012_004268_000075,Special Circular 109,special_circular_109,1939-04,1939_n11
0012_004268_000076,Special Circular 110,special_circular_110,1939-06,1939_n12
0012_004268_000077,Special Circular 111,special_circular_111,1939-10,1939_n13
0012_004268_000078,Special Circular 112,special_circular_112,1939-11,1939_n14
0012_004268_000079,Special Circular 113,special_circular_113,1939-12,1939_n15
0012_004268_000080,Special Circular 114,special_circular_114,1940-01,1940_n02
0012_004268_000081,Special Circular 115,special_circular_115,1940-01,1940_n03
0012_004268_000082,Special Circular 116,special_circular_116,1940-01,1940_n04
0012_004268_000083,Special Circular 119,special_circular_119,1940-04,1940_n05
0012_004268_000084,Special Circular 120,special_circular_120,1940-04,1940_n06
0012_004268_000085,Special Circular 121,special_circular_121,1942-02,1942_n01
0012_004268_000086,Special Circular 122,special_circular_122,1940-05,1940_n07
0012_004268_000087,Special Circular 123,special_circular_123,1940-03,1940_n08
0012_004268_000088,Special Circular 124,special_circular_124,1940-05,1940_n09
0012_004268_000089,Special Circular 126,special_circular_126,,unknown_date_n01
0012_004268_000090,Special Circular 127,special_circular_127,1940-06,1940_n10
0012_004268_000091,Special Circular 128,special_circular_128,1941-06,1941_n01
0012_004268_000092,Special Circular 130,special_circular_130,1940-10,1940_n11
0012_004268_000093,Special Circular 131,special_circular_131,1940-10,1940_n12
0012_004268_000094,Special Circular 132,special_circular_132,1940-10,1940_n13
0012_004268_000095,Special Circular 133,special_circular_133,1940-11,1940_n14
0012_004268_000096,Special Circular 134,special_circular_134,1940-11,1940_n15
0012_004268_000097,Special Circular 135,special_circular_135,1940-12,1940_n16
0012_004268_000098,Special Circular 136,special_circular_136,1941-01,1941_n02
0012_004268_000099,Special Circular 137,special_circular_137,1941-01,1941_n03
0012_004268_000100,Special Circular 138,special_circular_138,1941-01,1941_n04
0012_004268_000101,Special Circular 140,special_circular_140,1941-02,1941_n05
0012_004268_000102,Special Circular 141,special_circular_141,,unknown_date_n02
0012_004268_000103,Special Circular 142,special_circular_142,1941-03,1941_n06
0012_004268_000104,Special Circular 143,special_circular_143,1941-03,1941_n07
0012_004268_000105,Special Circular 144,special_circular_144,1941-03,1941_n08
0012_004268_000106,Special Circular 145,special_circular_145,1941-03,1941_n09
0012_004268_000107,Special Circular 146,special_circular_146,1941-04,1941_n10
0012_004268_000108,Special Circular 147,special_circular_147,1941-04,1941_n11
0012_004268_000109,Special Circular 148,special_circular_148,1946-04,1946_n01
0012_004268_000110,Special Circular 149,special_circular_149,1941-06,1941_n12
0012_004268_000111,Special Circular 150,special_circular_150,1941-07,1941_n13
0012_004268_000112,Special Circular 151,special_circular_151,1941-07,1941_n14
0012_004268_000113,Special Circular 152,special_circular_152,1941-10,1941_n15
0012_004268_000114,Special Circular 153,special_circular_153,1941-10,1941_n16
0012_004268_000115,Special Circular 158,special_circular_158,1942-03,1942_n02
0012_004268_000116,Special Circular 162,special_circular_162,1942-06,1942_n03
0012_004268_000117,Special Circular 168,special_circular_168,1942-09,1942_n04
0012_004268_000118,Special Circular 170,special_circular_170,1943-01,1943_n01
0012_004268_000119,Special Circular 171,special_circular_171,,unknown_date_n03
0012_004268_000122,Special Circular 180A,special_circular_180a,,unknown_date_n04
0012_004268_000123,Special Circular 181,special_circular_181,,unknown_date_n05
0012_004268_000124,Special Circular 181B,special_circular_181b,,unknown_date_n06
0012_004268_000125,Special Circular 182A,special_circular_182a,,unknown_date_n07
0012_004268_000126,Special Circular 184A,special_circular_184a,,unknown_date_n08
0012_004268_000127,Special Circular 188,special_circular_188,,unknown_date_n09
0012_004268_000128,Special Circular 191,special_circular_191,,unknown_date_n10
0012_004268_000129,Special Circular 192,special_circular_192,1943-04,1943_n02
0012_004268_000130,Special Circular 194,special_circular_194,1943-06,1943_n03
0012_004268_000131,Special Circular 198,special_circular_198,1943-08,1943_n04
0012_004268_000132,Special Circular 234,special_circular_234,1945-05,1945_n01
0012_004268_000133,Special Circular 235,special_circular_235,1945-05,1945_n02
0012_004268_000134,Special Circular 241,special_circular_241,1945-06,1945_n03
0012_004268_000135,Special Circular 242,special_circular_242,1945-06,1945_n04
0012_004268_000136,Special Circular 243,special_circular_243,1945-09,1945_n05
0012_004268_000137,Special Circular 245,special_circular_245,1945-09,1945_n06
0012_004268_000138,Special Circular 247,special_circular_247,1945-11,1945_n07
0012_004268_000139,Special Circular 248,special_circular_248,1945-11,1945_n08
0012_004268_000140,Special Circular 250,special_circular_250,1945-11,1945_n09
0012_004268_000141,Special Circular 251,special_circular_251,1946-01,1946_n02
0012_004268_000142,Special Circular 252,special_circular_252,1946-01,1946_n03
0012_004268_000143,Special Circular 253,special_circular_253,1946-01,1946_n04
0012_004268_000144,Special Circular 254,special_circular_254,1946-02,1946_n05
0012_004268_000145,Special Circular 254 Supplement,special_circular_254_supplement,1949-01,1949_n01
0012_004268_000146,Special Circular 255,special_circular_255,1946-02,1946_n06
0012_004268_000147,Special Circular 256,special_circular_256,,unknown_date_n11
0012_004268_000148,Special Circular 257,special_circular_257,,unknown_date_n12
0012_004268_000149,Special Circular 259,special_circular_259,1946-03,1946_n07
0012_004268_000150,Special Circular 260,special_circular_260,1946-03,1946_n08
0012_004268_000151,Special Circular 262,special_circular_262,1946-07,1946_n09
0012_004268_000152,Special Circular 263,special_circular_263,1946-08,1946_n10
0012_004268_000153,Special Circular 264,special_circular_264,1946-08,1946_n11
0012_004268_000154,Special Circular 265,special_circular_265,1946-09,1946_n12
0012_004268_000155,Special Circular 266,special_circular_266,,unknown_date_n13
0012_004268_000156,Special Circular 267,special_circular_267,1946-11,1946_n13
0012_004268_000157,Special Circular 268,special_circular_268,,unknown_date_n14
0012_004268_000158,Special Circular 270,special_circular_270,1947-02,1947_n01
0012_004268_000159,Special Circular 271,special_circular_271,1948-02,1948_n01
0012_004268_000160,Special Circular 273,special_circular_273,1947-01,1947_n02
0012_004268_000161,Special Circular 274,special_circular_274,1947-02,1947_n03
0012_004268_000162,Special Circular 276,special_circular_276,1947-02,1947_n04
0012_004268_000163,Special Circular 278,special_circular_278,1947-02,1947_n05
0012_004268_000164,Special Circular 283,special_circular_283,1947-02,1947_n06
0012_004268_000165,Special Circular 285,special_circular_285,,unknown_date_n15
0012_004268_000166,Special Circular 287,special_circular_287,1947-03,1947_n07
0012_004268_000167,Special Circular 288,special_circular_288,1947-05,1947_n08
0012_004268_000168,Special Circular 289,special_circular_289,1947-04,1947_n09
0012_004268_000169,Special Circular 290,special_circular_290,,unknown_date_n16
0012_004268_000170,Special Circular 292,special_circular_292,1947-05,1947_n10
0012_004268_000171,Special Circular 293,special_circular_293,1947-07,1947_n11
0012_004268_000172,Special Circular 294,special_circular_294,1947-07,1947_n12
0012_004268_000173,Special Circular 296,special_circular_296,1947-07,1947_n13
0012_004268_000174,Special Circular 307,special_circular_307,1948-03,1948_n02
0012_004268_000175,Special Circular 308,special_circular_308,1948-03,1948_n03
0012_004268_000176,Special Circular 309,special_circular_309,1948-03,1948_n04
0012_004268_000177,Special Circular 311,special_circular_311,1948-03,1948_n05
0012_004268_000178,Special Circular 312,special_circular_312,1948-03,1948_n06
0012_004268_000179,Special Circular 313,special_circular_313,1948-03,1948_n07
0012_004268_000180,Special Circular 314,special_circular_314,1948-03,1948_n08
0012_004268_000181,Special Circular 315,special_circular_315,1948-03,1948_n09
0012_004268_000182,Special Circular 316,special_circular_316,1948-03,1948_n10
0012_004268_000183,Special Circular 317,special_circular_317,1948-03,1948_n11
0012_004268_000184,Special Circular 319,special_circular_319,1948-03,1948_n12
0012_004268_000185,Special Circular 320,special_circular_320,1948-03,1948_n13
0012_004268_000186,Special Circular 323,special_circular_323,1948-03,1948_n14
0012_004268_000187,Special Circular 324,special_circular_324,1948-03,1948_n15
0012_004268_000188,Special Circular 325,special_circular_325,1948-03,1948_n16
0012_004268_000189,Special Circular 326,special_circular_326,1948-03,1948_n17
0012_004268_000190,Special Circular 327,special_circular_327,1948-03,1948_n18
0012_004268_000191,Special Circular 328,special_circular_328,1948-05,1948_n19
0012_004268_000192,Special Circular 330,special_circular_330,1948-07,1948_n20
0012_004268_000193,Special Circular 331,special_circular_331,1948-07,1948_n21
0012_004268_000194,Special Circular 332,special_circular_332,1948-08,1948_n22
0012_004268_000195,Special Circular 333,special_circular_333,1951-01,1951_n01
0012_004268_000196,Special Circular 335,special_circular_335,1948-10,1948_n23
0012_004268_000197,Special Circular 336,special_circular_336,1948-10,1948_n24
0012_004268_000198,Special Circular 337,special_circular_337,1948-11,1948_n25
0012_004268_000199,Special Circular 340,special_circular_340,1949-01,1949_n02
0012_004268_000200,Special Circular 342,special_circular_342,1949-02,1949_n03
0012_004268_000201,Special Circular 346,special_circular_346,1949-06,1949_n04
0012_004268_000202,Special Circular 361,special_circular_361,1950-02,1950_n01
0012_004268_000203,Special Circular 369,special_circular_369,1950-05,1950_n02
0012_004268_000204,Special Circular 375,special_circular_375,1951-01,1951_n02
0012_004268_000205,Special Circular 380,special_circular_380,,unknown_date_n17
0012_004268_000206,Special Circular 383,special_circular_383,1951-04,1951_n03
0012_004268_000207,Special Circular 387,special_circular_387,1951-06,1951_n04
0012_004268_000208,Special Circular 388,special_circular_388,1951-06,1951_n05
0012_004268_000209,Special Circular 389,special_circular_389,1951-06,1951_n06
0012_004268_000210,Special Circular 392,special_circular_392,,unknown_date_n18
