adminDB,title,extent
0012_004267_000001,"Tennessee farm and home science, progress report 1, January - March 1952",12 pages
0012_004267_000002,"Tennessee farm and home science, progress report 2, April - June 1952",12 pages
0012_004267_000003,"Tennessee farm and home science, progress report 3, July - September 1952",12 pages
0012_004267_000004,"Tennessee farm and home science, progress report 4, October - December 1952",12 pages
0012_004267_000005,"Tennessee farm and home science, progress report 5, January - March 1953",12 pages
0012_004267_000006,"Tennessee farm and home science, progress report 6, April - June 1953",12 pages
0012_004267_000007,"Tennessee farm and home science, progress report 7, July - September 1953",12 pages
0012_004267_000008,"Tennessee farm and home science, progress report 8, October - December 1953",12 pages
0012_004267_000009,"Tennessee farm and home science, progress report 9, January - March 1954",12 pages
0012_004267_000010,"Tennessee farm and home science, progress report 10, April - June 1954",12 pages
0012_004267_000011,"Tennessee farm and home science, progress report 11, July - September 1954",12 pages
0012_004267_000012,"Tennessee farm and home science, progress report 12, October - December 1954",12 pages
0012_004267_000013,"Tennessee farm and home science, progress report 13, January - March 1955",12 pages
0012_004267_000014,"Tennessee farm and home science, progress report 14, April - June 1955",12 pages
0012_004267_000015,"Tennessee farm and home science, progress report 15, July - September 1955",12 pages
0012_004267_000016,"Tennessee farm and home science, progress report 16, October - December 1955",12 pages
0012_004267_000017,"Tennessee farm and home science, progress report 17, January - March 1956",12 pages
0012_004267_000018,"Tennessee farm and home science, progress report 18, April - June 1956",12 pages
0012_004267_000019,"Tennessee farm and home science, progress report 19, July - September 1956",12 pages
0012_004267_000020,"Tennessee farm and home science, progress report 20, October - December 1956",12 pages
0012_004267_000021,"Tennessee farm and home science, progress report 21, January - March 1957",12 pages
0012_004267_000022,"Tennessee farm and home science, progress report 22, April - June 1957",12 pages
0012_004267_000023,"Tennessee farm and home science, progress report 23, July - September 1957",12 pages
0012_004267_000024,"Tennessee farm and home science, progress report 24, October - December 1957",12 pages
0012_004267_000025,"Tennessee farm and home science, progress report 25, January - March 1958",16 pages
0012_004267_000026,"Tennessee farm and home science, progress report 26, April - June 1958",12 pages
0012_004267_000027,"Tennessee farm and home science, progress report 27, July - September 1958",12 pages
0012_004267_000028,"Tennessee farm and home science, progress report 28, October - December 1958",12 pages
0012_004267_000029,"Tennessee farm and home science, progress report 29, January - March 1959",12 pages
0012_004267_000030,"Tennessee farm and home science, progress report 30, April - June 1959",12 pages
0012_004267_000031,"Tennessee farm and home science, progress report 31, July - September 1959",12 pages
0012_004267_000032,"Tennessee farm and home science, progress report 32, October - December 1959",12 pages
0012_004267_000033,"Tennessee farm and home science, progress report 33, January - March 1960",16 pages
0012_004267_000034,"Tennessee farm and home science, progress report 34, April - June 1960",12 pages
0012_004267_000035,"Tennessee farm and home science, progress report 35, July - September 1960",12 pages
